id,estimate_OT
0,17917.088
1,17865.496
2,17914.203
3,17898.379
4,17855.316
5,17731.033
6,17674.287
7,17475.875
8,17286.074
9,17192.32
10,17253.785
11,17691.885
12,17941.021
13,17978.652
14,18031.377
15,18043.73
16,18102.348
17,18009.664
18,17960.855
19,17939.18
20,17887.895
21,17644.148
22,17340.6
23,17373.088
24,17704.484
25,17733.344
26,17674.592
27,17717.875
28,17627.133
29,17448.02
30,17625.02
31,17643.465
32,17660.33
33,17782.225
34,17798.068
35,17736.65
36,17594.926
37,17443.404
38,17498.236
39,17439.99
40,17402.684
41,17572.49
42,17704.025
43,17743.941
44,17749.596
45,17755.96
46,17824.135
47,17759.867
48,17940.62
49,17984.646
50,18013.396
51,17973.137
52,17978.656
53,18092.1
54,18073.766
55,18128.854
56,18185.17
57,18199.16
58,18139.477
59,18253.02
60,18251.21
61,18092.17
62,18217.572
63,18154.469
64,18073.398
65,17897.299
66,17709.928
67,17776.85
68,17838.932
69,17964.424
70,17930.328
71,18108.404
72,18080.436
73,18248.768
74,18212.107
75,18104.438
76,17963.486
77,17780.1
78,17762.639
79,17872.645
80,17901.797
81,17689.043
82,17705.969
83,17851.547
84,17850.059
85,17953.076
86,17993.262
87,18058.213
88,18015.979
89,18072.834
90,18134.586
91,18109.646
92,18003.78
93,18005.785
94,18025.96
95,18030.295
96,18076.213
97,18126.404
98,18080.668
99,18101.57
100,18098.947
101,18039.293
102,18005.496
103,18047.256
104,18023.766
105,17900.209
106,17875.824
107,18049.307
108,18098.05
109,18059.94
110,18070.5
111,18157.734
112,18239.799
113,18271.104
114,18297.418
115,18266.861
116,18286.793
117,18244.242
118,18206.9
119,18190.879
120,18099.598
121,18131.809
122,18060.373
123,17987.254
124,18068.938
125,18041.85
126,17916.697
127,17817.973
128,17842.357
129,17988.1
130,18104.46
131,18003.615
132,17852.693
133,17901.059
134,18010.133
135,18129.62
136,18178.314
137,18171.846
138,18158.273
139,18083.162
140,18003.195
141,18033.691
142,17805.186
143,17657.76
144,17673.256
145,17728.156
146,17643.697
147,17668.373
148,17652.697
149,17641.62
150,17729.86
151,17974.758
152,18029.172
153,17996.914
154,18117.678
155,18118.104
156,18146.588
157,18050.768
158,17961.148
159,17833.197
160,17643.09
161,17476.88
162,17530.283
163,17702.188
164,17669.146
165,17794.787
166,17658.62
167,17681.498
168,17671.625
169,17603.766
170,17434.814
171,17539.826
172,17551.785
173,17445.783
174,17467.9
175,17528.945
176,17519.512
177,17484.883
178,17537.422
179,17345.25
180,16911.13
181,16411.04
182,16072.503
183,16202.306
184,16666.77
185,16779.035
186,16708.988
187,16520.479
188,16521.629
189,16662.305
190,16538.55
191,16646.578
192,16542.342
193,16660.744
194,16604.166
195,16446.916
196,16661.227
197,16757.37
198,16796.463
199,16755.402
200,16694.135
201,16482.361
202,16270.507
203,16113.226
204,16294.206
205,16186.492
206,16105.866
207,16236.777
208,16234.479
209,16356.148
210,16598.385
211,16722.895
212,16780.357
213,16916.805
214,17023.748
215,17028.281
216,16978.38
217,16979.57
218,17092.059
219,17197.84
220,17228.309
221,17175.629
222,17151.338
223,17422.486
224,17613.05
225,17553.854
226,17475.998
227,17708.414
228,17640.201
229,17725.762
230,17753.072
231,17816.291
232,17761.8
233,17785.654
234,17923.582
235,17853.777
236,17849.654
237,17762.957
238,17695.252
239,17489.674
240,17538.2
241,17751.648
242,17744.22
243,17730.264
244,17911.414
245,17916.426
246,17875.916
247,17836.729
248,17816.545
249,17836.45
250,17854.564
251,17820.32
252,17639.98
253,17720.326
254,17736.809
255,17629.898
256,17556.266
257,17595.11
258,17525.83
259,17400.48
260,17540.068
261,17710.379
262,17683.562
263,17430.816
264,17336.24
265,17425.662
266,17565.727
267,17559.871
268,17478.865
269,17626.549
270,17633.92
271,17586.826
272,17298.89
273,17169.559
274,17013.283
275,16777.314
276,16517.098
277,16417.73
278,16441.717
279,16364.368
280,16389.06
281,16422.467
282,16368.545
283,16158.462
284,16287.496
285,16480.588
286,16057.904
287,16365.508
288,16218.422
289,16352.844
290,16761.545
291,16528.69
292,16254.364
293,16382.873
294,16542.916
295,16362.372
296,16111.306
297,16013.12
298,15946.138
299,15745.164
300,15784.65
301,16110.915
302,16325.379
303,16342.394
304,16386.621
305,16485.523
306,16441.643
307,16457.674
308,16608.664
309,16604.084
310,16580.39
311,16703.035
312,16804.291
313,16845.482
314,16920.502
315,16965.178
316,16948.998
317,17024.277
318,16996.807
319,17203.586
320,17191.82
321,17220.486
322,17359.562
323,17422.85
324,17585.584
325,17564.54
326,17513.107
327,17453.822
328,17570.39
329,17573.621
330,17617.37
331,17707.27
332,17662.705
333,17753.15
334,17693.023
335,17673.8
336,17736.715
337,17659.74
338,17708.594
339,17622.676
340,17714.041
341,17827.113
342,17881.264
343,17870.45
344,17918.412
345,17992.377
346,18032.809
347,18004.941
348,18072.316
349,17985.205
350,18028.438
351,18064.936
352,18004.627
353,17897.688
354,17852.104
355,17821.219
356,17686.158
357,17707.496
358,17730.357
359,17713.213
360,17848.293
361,17824.855
362,17833.865
363,17682.156
364,17708.285
365,17649.34
366,17551.707
367,17478.01
368,17560.465
369,17531.057
370,17615.814
371,17776.39
372,17802.084
373,17836.027
374,17892.4
375,17848.42
376,17836.912
377,17805.932
378,17885.752
379,17921.453
380,17949.559
381,17934.195
382,17928.047
383,17866.512
384,17740.574
385,17737.068
386,17795.836
387,17799.781
388,17884.71
389,17911.32
390,17868.0
391,17953.396
392,17855.629
393,17410.744
394,17413.48
395,17668.445
396,17912.848
